ID,Word,List,ValMn,ValSD,AroMn,AroSD
91,enraged,3,2.46,1.65,7.97,1.65
92,harass,5,2.48,1.18,5.64,1.18
93,addict,4,2.48,2.08,5.66,2.08
94,remorse,6,2.48,1.55,5.66,1.55
95,repulsed,1,2.48,1.6,5.93,1.6
96,cult,2,2.48,1.85,6.15,1.85
97,sting,5,2.48,1.76,6.78,1.76
98,injury,4,2.49,1.76,5.69,1.76
99,virus,3,2.5,1.75,5.46,1.75
100,burdened,1,2.5,1.32,5.63,1.32
101,threat,6,2.5,1.21,6.08,1.21
102,rude,2,2.5,2.11,6.31,2.11
