Word	Wdnum	ValMn	ValSD	AroMn	AroSD	DomMn	DomSD	Length
basis	1510	4.80	(0.77)	4.29	(1.44)	5.50	(1.29)	5
basket	547	5.31	(1.09)	3.88	(2.01)	5.62	(1.6)	6
basketball	1511	5.80	(1.52)	5.20	(2.51)	4.60	(1.45)	10
bastard	33	3.44	(2.21)	5.94	(2.02)	4.03	(2.51)	7
batch	1512	6.14	(1.29)	4.43	(1.74)	5.36	(0.84)	5
bath	502	7.42	(1.55)	3.58	(2.58)	7.08	(1.98)	4
bathe	1513	7.53	(1.68)	4.87	(2.56)	5.73	(2.37)	5
bathroom	548	5.19	(1.27)	3.92	(1.57)	5.58	(1.5)	8
bathtub	652	6.75	(1.48)	3.25	(2.53)	5.80	(1.67)	7
baton	1514	4.94	(1.44)	3.81	(1.64)	5.00	(1.26)	5
battle	2550	3.51	(1.77)	5.36	(2.30)	5.25	(2.22)	6
battleship	1515	4.08	(2.72)	5.62	(3.15)	3.69	(2.21)	10
bawl	1516	3.38	(1.2)	4.75	(2.21)	3.75	(1.29)	4
beach	34	7.65	(1.95)	4.45	(3.28)	5.15	(2.52)	5
beads	1517	5.85	(1.52)	4.92	(2.29)	4.69	(2.02)	5
bean	1518	4.88	(1.02)	3.94	(2.32)	5.44	(2.1)	4
bear	1519	4.27	(2.15)	6.64	(2.2)	3.36	(1.75)	4
beard	1520	5.69	(1.75)	4.17	(2.92)	5.23	(2.24)	5
beast	653	3.50	(2.11)	5.21	(2.84)	4.25	(2.05)	5
beautiful	654	8.00	(1.03)	5.95	(2.24)	6.50	(2.01)	9
beauty	35	8.04	(1.15)	4.52	(2.76)	5.65	(2.44)	6
bed	549	7.15	(1.54)	3.19	(2.23)	6.77	(1.73)	3
bedroom	2551	6.90	(1.63)	4.51	(2.42)	5.84	(2.41)	7
bedspread	1521	5.36	(2.27)	3.69	(2.39)	6.00	(2.12)	9
beer	1522	5.33	(2.5)	5.53	(2.47)	4.80	(2.37)	4
bees	583	3.15	(2.11)	6.31	(2)	3.77	(1.86)	4
beet	1523	4.64	(1.15)	3.15	(1.72)	5.62	(1.19)	4
beg	1524	2.67	(1.76)	5.40	(2.38)	3.40	(2.44)	3
beggar	36	2.65	(1.85)	5.62	(2.61)	3.68	(2.5)	6
beginning	1525	6.57	(2.41)	4.93	(2.5)	5.71	(2.43)	9
behave	1526	5.85	(1.77)	4.25	(1.54)	4.33	(1.92)	6
belief	1527	6.69	(2.14)	6.67	(2.06)	6.00	(2.37)	6
bell	1528	5.15	(1.72)	3.38	(1.94)	5.00	(1.15)	4
belly	1529	4.50	(1.62)	4.64	(1.69)	4.64	(1.12)	5
belong	1530	7.17	(1.59)	6.08	(2.5)	5.75	(1.54)	6
belt	2552	4.78	(1.31)	3.77	(1.95)	4.81	(1.65)	4
bench	655	4.65	(1.47)	3.77	(2.27)	4.42	(1.17)	5
benefit	1531	7.00	(1.52)	4.79	(2.55)	6.14	(2.18)	7
berate	1532	3.06	(2.02)	5.44	(2.66)	3.75	(1.88)	6
bereavement	656	4.52	(1.85)	4.50	(1.89)	4.63	(1.71)	11
best	2553	7.36	(1.72)	5.93	(2.43)	6.24	(2.30)	4
betray	37	1.60	(0.96)	7.28	(2.09)	4.54	(3.31)	6
betrayal	2554	2.13	(1.70)	5.53	(2.75)	3.98	(2.79)	8
beverage	657	6.86	(1.46)	5.14	(2.37)	5.48	(2.32)	8
beware	1533	3.00	(1.51)	6.00	(2.3)	3.13	(1.73)	6
bib	1534	6.14	(1.7)	4.50	(2.28)	4.93	(1.33)	3
bible	1535	6.93	(2.05)	4.73	(2.49)	4.47	(2.36)	5
bicker	1536	2.67	(1.37)	5.25	(2.3)	4.50	(1.88)	6
