Word	Wdnum	ValMn	ValSD	AroMn	AroSD	DomMn	DomSD	Length
baby	31	7.71	(1.49)	6.25	(2.49)	4.56	(2.94)	4
backyard	1492	6.43	(2.03)	4.93	(2.16)	5.36	(1.74)	8
bacon	1493	6.79	(2.33)	5.93	(2.64)	5.86	(2.8)	5
bad	1494	2.50	(1.34)	5.86	(1.61)	4.43	(1.91)	3
badge	1495	5.07	(1.71)	5.00	(2.1)	4.47	(1.96)	5
baffle	1496	4.36	(1.55)	5.43	(1.99)	3.92	(1.71)	6
bag	2543	4.93	(1.50)	3.52	(1.99)	5.66	(1.72)	3
bake	647	6.32	(1.25)	4.70	(2.54)	5.22	(1.63)	4
balcony	1497	5.00	(1.84)	4.36	(2.17)	4.71	(1.59)	7
bald	1498	3.27	(1.33)	4.47	(2.7)	3.60	(2.2)	4
ballet	1499	4.56	(1.9)	3.19	(2.04)	5.69	(1.58)	6
balloon	2544	6.50	(1.57)	4.56	(2.55)	5.42	(2.16)	7
balloons	1500	6.67	(1.84)	5.40	(1.68)	6.00	(1.2)	8
ban	1501	3.29	(1.59)	5.43	(1.83)	4.29	(2.52)	3
banana	1502	6.40	(2.16)	5.33	(2.38)	5.87	(1.64)	6
band	1503	6.71	(1.73)	6.36	(1.55)	5.86	(2.07)	4
bandage	648	4.00	(1.81)	3.80	(1.77)	4.30	(1.98)	7
banish	1504	3.13	(1.41)	5.53	(3.16)	3.27	(2.31)	6
bank	2545	6.50	(1.89)	4.75	(2.53)	6.00	(2.35)	4
bankrupt	32	2.24	(1.52)	5.71	(2.82)	2.94	(2.43)	8
banner	649	5.35	(0.67)	3.65	(1.73)	4.80	(1.77)	6
banquet	2546	6.66	(1.78)	5.16	(2.13)	5.43	(1.77)	7
bar	650	7.00	(2.08)	5.50	(2.7)	5.85	(2.21)	3
barf	2547	2.89	(2.04)	5.07	(2.48)	4.57	(2.37)	4
bargain	1505	6.87	(1.36)	5.67	(1.91)	6.67	(1.4)	7
bark	1506	3.69	(1.89)	6.25	(2.6)	4.08	(2.5)	4
barn	1507	5.87	(2.17)	3.71	(2.2)	6.21	(1.67)	4
barrel	651	5.30	(1.66)	3.75	(2.71)	4.90	(2.1)	6
baseball	2548	5.46	(2.34)	4.29	(2.60)	5.67	(2.16)	8
basement	1508	4.86	(1.75)	4.43	(2.68)	4.93	(2.2)	8
basic	2549	4.75	(1.39)	3.81	(1.77)	5.28	(1.57)	5
basin	1509	5.00	(0.37)	3.56	(1.82)	4.63	(1.15)	5
basis	1510	4.81	(0.54)	3.44	(1.82)	5.25	(1.39)	5
basket	547	5.60	(1.22)	3.36	(2.04)	5.92	(1.29)	6
basketball	1511	6.38	(2.36)	6.48	(2.04)	5.62	(2.16)	10
bastard	33	3.20	(2.11)	6.38	(2.5)	4.50	(2.18)	7
batch	1512	6.21	(1.48)	4.85	(1.91)	6.00	(1.83)	5
bath	502	7.24	(1.36)	4.76	(1.85)	5.72	(1.49)	4
bathe	1513	7.20	(1.37)	4.40	(2.47)	6.13	(1.51)	5
bathroom	548	5.92	(1.38)	3.84	(1.89)	5.72	(1.7)	8
bathtub	652	6.64	(1.68)	5.36	(2.26)	5.73	(1.88)	7
baton	1514	5.38	(1.63)	4.94	(2.05)	5.44	(1.63)	5
battle	2550	4.73	(1.83)	5.44	(2.34)	5.48	(2.06)	6
battleship	1515	5.71	(2.33)	6.07	(2.16)	4.07	(2.27)	10
bawl	1516	3.44	(1.75)	5.25	(1.95)	4.19	(1.42)	4
beach	34	8.47	(0.87)	6.88	(2.19)	5.81	(2.56)	5
beads	1517	5.27	(1.1)	3.40	(2.41)	4.53	(1.6)	5
bean	1518	5.87	(2.23)	4.00	(2.29)	6.21	(1.85)	4
bear	1519	5.13	(1.93)	6.44	(2.66)	4.06	(2.54)	4
beard	1520	5.93	(2.34)	4.40	(1.84)	6.47	(1.51)	5
beast	653	5.10	(2.51)	6.00	(2.29)	5.65	(2.39)	5
beautiful	654	7.23	(2)	6.36	(2.46)	6.10	(1.61)	9
beauty	35	7.47	(1.13)	5.60	(2.16)	5.33	(1.5)	6
bed	549	7.88	(1.09)	4.04	(2.85)	7.00	(1.87)	3
bedroom	2551	7.16	(1.63)	6.19	(2.26)	6.38	(2.08)	7
bedspread	1521	5.81	(1.64)	4.63	(1.96)	5.81	(1.28)	9
beer	1522	6.69	(1.93)	5.15	(2.48)	5.62	(2.36)	4
bees	583	3.24	(2.07)	6.72	(2.3)	4.56	(2.31)	4
beet	1523	4.06	(1.77)	4.75	(2.46)	4.56	(1.26)	4
beg	1524	2.85	(2.03)	4.50	(2.07)	3.17	(1.34)	3
beggar	36	3.95	(2.04)	4.00	(1.92)	4.60	(2.19)	6
beginning	1525	5.88	(1.78)	4.81	(1.64)	6.44	(1.75)	9
behave	1526	5.20	(2.27)	3.67	(2.35)	4.73	(2.37)	6
belief	1527	6.53	(1.51)	4.93	(2.58)	5.73	(1.87)	6
bell	1528	5.56	(1.09)	5.31	(1.08)	5.19	(1.33)	4
belly	1529	5.31	(1.74)	4.13	(2.33)	5.19	(2.14)	5
belong	1530	5.94	(1.65)	5.31	(2.02)	5.75	(1.69)	6
belt	2552	4.61	(1.99)	4.00	(2.42)	5.00	(2.17)	4
bench	655	4.56	(1.34)	3.33	(1.78)	5.06	(1.59)	5
benefit	1531	6.20	(1.97)	5.47	(1.92)	5.93	(2.15)	7
berate	1532	4.07	(1.94)	5.50	(2.1)	3.93	(2.06)	6
bereavement	656	4.63	(1.54)	4.26	(2.16)	3.95	(1.72)	11
best	2553	7.34	(1.99)	6.07	(2.64)	6.14	(2.27)	4
betray	37	1.85	(1.14)	7.17	(2.08)	5.75	(1.91)	6
betrayal	2554	2.46	(1.58)	5.19	(2.59)	4.42	(2.66)	8
beverage	657	6.80	(1.54)	5.55	(2.37)	5.80	(2.04)	8
beware	1533	4.07	(1.54)	6.79	(1.42)	4.29	(2.52)	6
bib	1534	5.06	(1.98)	4.25	(1.98)	4.63	(1.96)	3
bible	1535	5.00	(2.14)	4.40	(3.07)	4.47	(2.03)	5
bicker	1536	3.63	(1.26)	5.44	(2.28)	4.69	(1.58)	6
bicyclist	1537	5.50	(0.97)	5.38	(1.45)	5.44	(1.41)	9
bikini	1538	7.47	(2)	7.07	(1.67)	5.93	(1.79)	6
binge	1539	3.80	(1.82)	5.20	(1.97)	4.93	(2.4)	5
binoculars	1540	6.21	(1.81)	5.15	(1.28)	6.38	(2.18)	10
bird	38	6.92	(1.38)	2.67	(2.02)	4.58	(2.47)	4
birth	1541	7.19	(1.6)	6.13	(2.73)	5.00	(1.83)	5
birthday	39	7.40	(2.82)	6.60	(2.13)	5.40	(2.64)	8
bitch	1542	3.63	(1.89)	6.13	(2.68)	4.81	(2.07)	5
bitter	2555	3.50	(1.59)	4.14	(2.02)	5.16	(1.98)	6
bizarre	2556	5.28	(1.35)	5.50	(2.23)	4.84	(1.53)	7
black	543	5.92	(1.38)	4.54	(2.21)	5.88	(1.57)	5
blackmail	40	3.00	(1.56)	5.20	(2.78)	3.00	(2.26)	9
blade	1543	5.75	(1.13)	6.13	(1.71)	5.75	(1.34)	5
blame	1544	2.93	(1.54)	4.50	(2.03)	3.79	(1.72)	5
bland	658	4.10	(1.02)	3.45	(2.19)	4.95	(1.23)	5
blanket	1545	6.56	(1.26)	3.25	(1.84)	6.13	(1.67)	7
blase	41	5.00	(1.32)	4.35	(1.69)	4.38	(1.93)	5
blasphemy	659	3.65	(2.11)	4.55	(2.37)	4.75	(1.83)	9
bleak	2557	3.48	(1.98)	3.63	(1.84)	4.85	(2.08)	5
bleed	1546	3.47	(1.55)	6.14	(2.03)	4.36	(2.27)	5
bless	42	6.35	(2.18)	4.12	(2.29)	5.29	(2.05)	5
blessing	2558	6.61	(2.19)	4.98	(2.58)	5.34	(2.26)	8
blessings	2559	7.23	(1.94)	4.71	(2.56)	4.91	(2.15)	9
blight	1547	4.00	(1.92)	5.38	(1.6)	4.29	(1.52)	6
blind	43	2.71	(1.83)	3.69	(2.18)	3.06	(1.91)	5
bliss	660	7.17	(1.79)	5.06	(3.06)	6.50	(2.23)	5
blister	661	3.48	(1.91)	3.81	(2.11)	4.38	(1.99)	7
blizzard	2560	4.56	(1.94)	5.57	(2.00)	4.13	(1.87)	8
blob	1548	5.33	(2.55)	5.27	(2.28)	6.07	(1.69)	4
blond	662	6.64	(2.44)	6.05	(2.79)	6.00	(2.05)	5
blonde	1549	6.20	(1.52)	4.40	(2.44)	4.47	(2.29)	6
blood	1550	3.80	(1.66)	6.13	(2.5)	4.20	(2.24)	5
bloody	584	3.76	(2.3)	6.32	(2.36)	4.32	(1.91)	6
bloom	1551	7.21	(1.42)	5.38	(1.98)	5.46	(2.07)	5
blossom	44	7.53	(1.41)	5.67	(3.02)	5.53	(2.29)	7
blouse	1552	5.47	(0.99)	4.07	(2.28)	4.00	(1.89)	6
blowdryer	1553	4.67	(1.11)	3.93	(1.79)	4.87	(1.55)	9
blubber	663	3.83	(2.09)	4.56	(2.15)	4.50	(1.92)	7
blue	544	7.16	(1.52)	4.00	(2.08)	5.92	(1.38)	4
blues	1554	4.60	(1.72)	3.60	(1.99)	4.53	(2.23)	5
blurt	1555	4.71	(1.2)	5.46	(1.98)	4.92	(1.98)	5
board	664	4.58	(1.22)	3.26	(1.94)	4.63	(2.01)	5
boat	1556	8.00	(1.11)	5.71	(3.27)	6.29	(2.4)	4
body	665	5.75	(2.47)	5.60	(2.78)	5.25	(2.22)	4
boil	2561	4.64	(1.75)	5.11	(2.42)	5.41	(1.63)	4
bold	45	6.25	(1.71)	4.75	(2.53)	6.92	(1.38)	4
bolt	1557	5.60	(1.5)	5.80	(1.93)	5.47	(2.1)	4
bomb	46	2.70	(1.16)	6.70	(2.41)	4.60	(1.35)	4
bone	1558	4.86	(0.86)	4.14	(2.38)	4.57	(1.74)	4
bonus	1559	7.80	(2.21)	6.73	(2.66)	6.33	(2.47)	5
boobs	2562	7.56	(1.76)	7.13	(2.34)	5.47	(2.66)	5
book	47	5.90	(1.83)	4.15	(2.3)	5.15	(1.84)	4
boom	1560	5.53	(1.55)	7.00	(1.69)	5.00	(2.54)	4
boost	1561	6.20	(2.08)	5.27	(2.76)	5.67	(1.54)	5
booth	1562	5.27	(0.59)	4.27	(1.98)	5.87	(1.46)	5
boots	1563	5.50	(1.37)	4.50	(1.46)	5.69	(1.62)	5
bore	2563	3.41	(1.92)	2.80	(2.02)	4.75	(2.02)	4
bored	48	2.82	(1.47)	2.88	(2.28)	4.06	(1.48)	5
boring	1564	3.94	(2.21)	2.94	(2.43)	4.75	(1.84)	6
born	2564	6.69	(2.09)	5.75	(2.38)	5.53	(2.27)	4
borrow	2565	5.05	(1.33)	4.36	(2.01)	5.07	(1.68)	6
bothered	1565	3.27	(1.67)	6.07	(2.02)	4.00	(2.39)	8
bottle	666	6.09	(1.54)	5.45	(1.9)	4.68	(1.78)	6
bounty	1566	4.79	(1.63)	6.50	(1.74)	4.79	(1.97)	6
bouquet	667	6.52	(1.99)	5.10	(2.41)	6.24	(1.41)	7
bowl	49	4.80	(0.63)	3.40	(2.12)	5.00	(1.56)	4
boxer	585	6.12	(1.51)	5.20	(2.25)	5.48	(1.9)	5
boy	50	5.40	(0.74)	3.73	(2.09)	4.33	(2.02)	3
boyfriend	1567	4.20	(1.93)	4.93	(2.81)	4.36	(2.79)	9
bracelet	1568	5.38	(1.5)	4.63	(1.78)	5.06	(0.57)	8
braces	1569	3.33	(1.63)	5.33	(1.4)	4.47	(2.36)	6
brain	1570	6.67	(1.54)	5.13	(2.17)	6.07	(1.71)	5
brat	2566	3.52	(1.88)	4.73	(2.17)	5.31	(2.32)	4
brave	668	6.76	(2.02)	5.95	(2.6)	7.14	(1.9)	5
bravery	2567	6.55	(1.85)	5.73	(2.37)	6.34	(1.75)	7
break	1571	4.75	(1.65)	4.88	(1.93)	5.75	(1.39)	5
breast	51	8.13	(1.3)	6.80	(2.21)	6.07	(2.22)	6
breath	1572	5.86	(1.41)	4.79	(2.61)	5.71	(1.98)	6
breathe	2568	6.34	(1.53)	4.04	(2.51)	5.53	(2.12)	7
breathless	1573	4.13	(2.13)	5.87	(1.85)	4.07	(2.09)	10
breeze	669	6.52	(1.97)	4.29	(2.15)	5.57	(1.63)	6
bribe	1574	4.75	(2.02)	5.88	(1.45)	5.19	(1.91)	5
brick	1575	4.86	(1.99)	4.29	(2.33)	5.29	(1.68)	5
bride	670	6.70	(1.92)	4.70	(2.56)	5.84	(2.14)	5
bridesmaid	2569	5.86	(1.37)	5.13	(2.02)	5.32	(1.87)	10
bridge	1576	5.56	(1.46)	4.94	(1.69)	5.06	(1.84)	6
brief	2570	5.82	(1.53)	4.41	(2.16)	5.39	(1.79)	5
bright	671	7.05	(1.61)	5.45	(2.21)	6.15	(1.14)	6
