,Subject,Valence,Arousal,Confidence,RT,dPrime,Accuracy,MetadPrime,Mratio
61,11128,High,Low,3.7238805970149254,1.3971740244160171,1.376762812395492,0.753731343283582,1.06250152701213,0.771738978890224
62,11128,Low,High,3.6857142857142855,1.4029683474418562,1.5884665506876314,0.7785714285714286,0.316427879125541,0.19920336313569995
63,11128,Low,Low,2.6564885496183206,1.4163052031835832,0.8100517255087522,0.648854961832061,1.19111555244586,1.4704191287263553
64,11129,High,High,4.76510067114094,1.2385854691528948,1.514812819614407,0.7718120805369127,1.5816589412826398,1.0441283047005427
65,11129,High,Low,4.283783783783784,1.2472280314086674,1.4809439867558505,0.7702702702702703,1.20310491193875,0.8123905581157506
66,11129,Low,High,4.228187919463087,1.2741749056585832,1.1551154541293918,0.7181208053691275,0.998382818417375,0.8643143114814044
67,11129,Low,Low,4.216216216216216,1.295479035761673,0.7679448829495824,0.6486486486486487,1.31685538042027,1.7147785077522615
68,11130,High,High,5.02054794520548,1.2848482369572594,1.788917417434336,0.8013698630136986,2.36551627760369,1.322317203997215
69,11130,High,Low,5.328859060402684,1.166823378069239,1.8838679754053234,0.825503355704698,2.72341885187738,1.4456527142202855
70,11130,Low,High,4.871621621621622,1.3701534552710655,2.0976852234041483,0.8513513513513513,1.7415444427473799,0.8302220101074941
71,11130,Low,Low,4.533783783783784,1.426674622538485,1.7706464667441617,0.8108108108108109,1.9033083846162,1.0749228715972732
72,11131,High,High,3.75,1.2972378319100244,1.4294171610254534,0.7071428571428572,1.1936000697098,0.8350257029610026
73,11131,High,Low,3.764705882352941,1.3785359181056265,1.29718332508256,0.6934306569343066,1.12655431567917,0.8684619158263307
74,11131,Low,High,3.4100719424460433,1.3587334614567226,0.4708958994328377,0.5683453237410072,1.3915762700017198,2.955167525726555
75,11131,Low,Low,3.0208333333333335,1.19471485367103,1.19292364611968,0.6206896551724138,0.973971173491526,0.8164572616693796
76,11132,High,High,4.640287769784172,1.4760111253854118,1.2899717569594986,0.7214285714285714,1.6724518099585601,1.2965026566942661
77,11132,High,Low,5.042253521126761,1.4419285607727943,1.6315608782866082,0.7676056338028169,1.8851519223987099,1.1554284902800633
78,11132,Low,High,4.62962962962963,1.3726443164341615,1.4179582912856334,0.7518248175182481,1.5157178556751,1.0689438927719306
79,11132,Low,Low,4.945205479452055,1.3459809219493764,1.4940984759766263,0.7671232876712328,1.76464020976897,1.1810735625143467
80,11133,High,High,4.837837837837838,1.3436299499298912,1.9231348614193393,0.831081081081081,1.98885340446641,1.034172612834114
81,11133,High,Low,4.863945578231292,1.2745845696335891,2.16068790682024,0.8571428571428571,1.98532907681997,0.9188412035598721
