"","SUBJ","RT.median","Confidence_RT.median","Accuracy_in_percent","Handedness_R_1","Total_Accepted_Trials","Gender_M_1","meta_d_0_30","meta_d_0_60","meta_d_0_90","meta_d_1_30","meta_d_1_60","meta_d_1_90","d_0_30","d_0_60","d_0_90","d_1_30","d_1_60","d_1_90","criterion_0_30","criterion_0_60","criterion_0_90","criterion_1_30","criterion_1_60","criterion_1_90","mratio_0_30","mratio_0_60","mratio_0_90","mratio_1_30","mratio_1_60","mratio_1_90","Confidence.mean_0_30","Confidence.mean_0_60","Confidence.mean_0_90","Confidence.mean_1_30","Confidence.mean_1_60","Confidence.mean_1_90","Accuracy.mean_0_30","Accuracy.mean_0_60","Accuracy.mean_0_90","Accuracy.mean_1_30","Accuracy.mean_1_60","Accuracy.mean_1_90"
"37","Subject_11121.txt",1.62700292697991,1.208,0.813953488372093,1,43,0,0.25702836884403,NA,NA,NA,NA,NA,1.20417444291728,NA,NA,NA,NA,NA,0.313277866384175,NA,NA,NA,NA,NA,0.21344778603783,NA,NA,NA,NA,NA,2.22222222222222,NA,NA,NA,NA,NA,0.733333333333333,NA,NA,NA,NA,NA
"38","Subject_11122.txt",1.55314934485068,1.026,0.604651162790698,1,43,0,NA,0.826407545110257,NA,NA,NA,NA,NA,1.18465634363009,NA,NA,NA,NA,NA,-0.17986504237364,NA,NA,NA,NA,NA,0.697592639041575,NA,NA,NA,NA,NA,2.875,NA,NA,NA,NA,NA,0.729166666666667,NA,NA,NA,NA
"39","Subject_11123.txt",1.64482828756445,1.076,0.74,1,50,0,NA,NA,0.968356510757007,NA,NA,NA,NA,NA,1.06524150610787,NA,NA,NA,NA,NA,0.268473776228013,NA,NA,NA,NA,NA,0.909048798046876,NA,NA,NA,NA,NA,2.95833333333333,NA,NA,NA,NA,NA,0.708333333333333,NA,NA,NA
"40","Subject_11125.txt",1.51899692928419,1.223,0.666666666666667,1,45,0,NA,NA,NA,0.11303411608946,NA,NA,NA,NA,NA,1.08711217748033,NA,NA,NA,NA,NA,0.371808999102651,NA,NA,NA,NA,NA,0.103976497026688,NA,NA,NA,NA,NA,2.28888888888889,NA,NA,NA,NA,NA,0.711111111111111,NA,NA
"41","Subject_11126.txt",1.40089786049793,1.0175,0.711111111111111,1,45,0,NA,NA,NA,NA,0.875451101998973,NA,NA,NA,NA,NA,1.35897929212155,NA,NA,NA,NA,NA,0.121604883221176,NA,NA,NA,NA,NA,0.644197529038339,NA,NA,NA,NA,NA,2.88,NA,NA,NA,NA,NA,0.76,NA
"42","Subject_11127.txt",1.42984029196668,1.192,0.76,1,50,0,NA,NA,NA,NA,NA,1.68640588877349,NA,NA,NA,NA,NA,0.850794525552948,NA,NA,NA,NA,NA,0.316196781085042,NA,NA,NA,NA,NA,1.9821541372489,NA,NA,NA,NA,NA,3.42222222222222,NA,NA,NA,NA,NA,0.666666666666667
"43","Subject_11129.txt",1.51532486971701,1.234,0.78,1,50,0,1.03793004823168,NA,NA,NA,NA,NA,0.976350503590213,NA,NA,NA,NA,NA,0.15517015359781,NA,NA,NA,NA,NA,1.06307114546982,NA,NA,NA,NA,NA,3.15217391304348,NA,NA,NA,NA,NA,0.695652173913043,NA,NA,NA,NA,NA
"44","Subject_11130.txt",1.34970348275965,1.101,0.695652173913043,1,46,0,NA,-0.233767951045394,NA,NA,NA,NA,NA,1.41138913946828,NA,NA,NA,NA,NA,0.0953999595478088,NA,NA,NA,NA,NA,-0.165629693830195,NA,NA,NA,NA,NA,2.45833333333333,NA,NA,NA,NA,NA,0.770833333333333,NA,NA,NA,NA
"45","Subject_11132.txt",1.34284345377819,1.026,0.770833333333333,1,48,0,NA,NA,0.477692336561706,NA,NA,NA,NA,NA,1.55326122726805,NA,NA,NA,NA,NA,0.328205130328088,NA,NA,NA,NA,NA,0.307541531440848,NA,NA,NA,NA,NA,3.46,NA,NA,NA,NA,NA,0.78,NA,NA,NA
"46","Subject_11133.txt",1.69744558236562,0.993,0.708333333333333,1,48,0,NA,NA,NA,-0.125969318486467,NA,NA,NA,NA,NA,0.557271881088499,NA,NA,NA,NA,NA,0.775836511225803,NA,NA,NA,NA,NA,-0.226046428612935,NA,NA,NA,NA,NA,2.65116279069767,NA,NA,NA,NA,NA,0.604651162790698,NA,NA
