,Accuracy,Arousal,Confidence,Confidence_RT,Expected,KeyPressed,LearningTime,LeftWord,MarkerStart,RT,RightWord,TrialNumber,Valence,nBlock
183,0.0,High,3,1.092,left,right,30.0,mob,5.0,2.0565208129701205,nuclear,33.0,Low,3.0
184,1.0,High,3,0.872,right,right,30.0,pushy,5.0,1.2346935763780493,avalanche,34.0,Low,3.0
185,1.0,High,3,1.411,right,right,30.0,bastard,4.0,2.102236374572385,dagger,35.0,Low,3.0
186,1.0,High,3,1.101,left,left,30.0,frantic,6.0,1.630284410173772,emergency,36.0,Low,3.0
187,1.0,High,1,0.729,left,left,30.0,haunt,1.0,2.158861127390992,gossip,37.0,Low,3.0
188,1.0,High,1,1.676,right,right,30.0,spanking,4.0,1.6016656678984873,anarchy,38.0,Low,3.0
189,0.0,High,2,0.856,right,left,30.0,scare,4.0,2.225559703161707,obsessed,39.0,Low,3.0
190,1.0,High,7,1.598,left,left,30.0,shark,1.0,0.8193313973897602,officer,40.0,Low,3.0
191,1.0,High,7,0.775,right,right,30.0,fight,5.0,1.199548118369421,forceful,41.0,Low,3.0
192,1.0,High,2,0.65,left,left,30.0,tangle,2.0,1.4826609752199147,mangle,42.0,Low,3.0
193,1.0,High,3,0.68,left,left,30.0,shock,3.0,2.086116397200385,baffle,43.0,Low,3.0
194,0.0,High,2,1.008,right,left,30.0,revolt,4.0,1.2603333517326973,battle,44.0,Low,3.0
195,0.0,High,2,1.604,left,right,30.0,police,6.0,2.355520744982641,chaos,45.0,Low,3.0
196,0.0,High,1,1.27,right,left,30.0,vampire,6.0,1.5974490470252931,pang,46.0,Low,3.0
197,1.0,High,2,2.158,left,left,30.0,emotional,5.0,1.6816964520548936,reckless,47.0,Low,3.0
198,1.0,High,2,0.764,right,right,30.0,lava,2.0,2.331449691177113,clench,48.0,Low,3.0
199,0.0,High,1,0.927,right,left,30.0,lightning,4.0,2.5737286297953688,speech,49.0,Low,3.0
200,0.0,Low,2,0.871,left,right,30.0,loneliness,5.0,1.2425827380211558,sad,0.0,Low,4.0
201,1.0,Low,2,0.618,right,right,30.0,lonely,2.0,1.38458091072971,worthless,1.0,Low,4.0
202,0.0,Low,3,0.939,left,right,30.0,sorrow,5.0,1.9421571621496696,rotten,2.0,Low,4.0
203,1.0,Low,2,0.976,left,left,30.0,deformed,4.0,1.5937444260634948,disappointment,3.0,Low,4.0
204,0.0,Low,7,1.155,right,left,30.0,disability,3.0,1.623659529024735,worse,4.0,Low,4.0
205,1.0,Low,7,0.804,left,left,30.0,sewage,5.0,0.8732668674492743,sunburn,5.0,Low,4.0
206,0.0,Low,2,0.917,right,left,30.0,coward,3.0,1.3873179930378683,stinky,6.0,Low,4.0
207,1.0,Low,7,1.181,left,left,30.0,alienation,2.0,1.091830521589145,fever,7.0,Low,4.0
208,1.0,Low,7,0.711,right,right,30.0,negligent,6.0,1.318573342403397,mope,8.0,Low,4.0
209,1.0,Low,2,0.851,left,left,30.0,mucous,3.0,1.678715560294222,bored,9.0,Low,4.0
210,1.0,Low,2,1.209,left,left,30.0,despair,5.0,1.7899298983684275,stink,10.0,Low,4.0
211,1.0,Low,2,0.654,right,right,30.0,weakness,2.0,1.8099168224725872,pathetic,11.0,Low,4.0
212,0.0,Low,1,1.231,left,right,30.0,complain,5.0,1.8367599259363487,manure,12.0,Low,4.0
213,0.0,Low,2,0.84,right,left,30.0,messy,1.0,1.8883897923515178,expire,13.0,Low,4.0
214,0.0,Low,2,0.726,right,left,30.0,tax,4.0,1.7644181229989044,mildew,14.0,Low,4.0
215,0.0,Low,3,2.092,right,left,30.0,moody,1.0,2.017653410701314,detach,15.0,Low,4.0
216,1.0,Low,Nan,Nan,right,right,30.0,handicapped,3.0,1.0311659097787924,urine,16.0,Low,4.0
217,1.0,Low,6,1.675,left,left,30.0,handicap,1.0,0.8867828953370918,dismissive,17.0,Low,4.0
218,0.0,Low,1,1.261,left,right,30.0,tarnish,5.0,1.865429675730411,bitter,18.0,Low,4.0
219,1.0,Low,5,1.366,right,right,30.0,pity,1.0,0.8065676500846166,dummy,19.0,Low,4.0
220,1.0,Low,2,1.062,left,left,30.0,crutch,6.0,1.7778603664773982,stain,20.0,Low,4.0
221,1.0,Low,1,1.411,right,right,30.0,cancel,4.0,1.7404433097981382,doubt,21.0,Low,4.0
222,1.0,Low,1,1.178,right,right,30.0,blubber,3.0,2.3901747344061732,uninteresting,22.0,Low,4.0
223,1.0,Low,2,1.448,right,right,30.0,forgot,5.0,1.7724295101943426,dull,23.0,Low,4.0
224,1.0,Low,7,1.228,right,right,30.0,mold,2.0,1.3789206810761243,greedy,24.0,Low,4.0
225,0.0,Low,2,1.173,right,left,30.0,damp,5.0,1.5032577438396402,lame,25.0,Low,4.0
226,1.0,Low,7,1.386,left,left,30.0,ail,1.0,1.4023960056365468,refuse,26.0,Low,4.0
227,1.0,Low,7,1.034,left,left,30.0,void,4.0,0.98728180656326,false,27.0,Low,4.0
228,0.0,Low,2,0.927,right,left,30.0,resent,4.0,1.9567437061923556,cynical,28.0,Low,4.0
229,1.0,Low,7,0.993,left,left,30.0,numb,3.0,1.214292817749083,separate,29.0,Low,4.0
230,0.0,Low,2,1.081,left,right,30.0,pinch,5.0,1.5866229434905108,leave,30.0,Low,4.0
231,1.0,Low,2,1.177,left,left,30.0,timid,6.0,1.5876941012393218,fool,31.0,Low,4.0
232,1.0,Low,2,0.852,left,left,30.0,pungent,4.0,1.9798529957188293,slow,32.0,Low,4.0
233,1.0,Low,1,1.26,right,right,30.0,crap,6.0,1.861683029710548,sludge,33.0,Low,4.0
234,1.0,Low,2,0.838,right,right,30.0,cane,1.0,1.6692894365114626,lower,34.0,Low,4.0
235,1.0,Low,7,0.797,left,left,30.0,blues,6.0,0.9336395494756289,slouch,35.0,Low,4.0
236,1.0,Low,7,1.579,left,left,30.0,smug,1.0,1.4216232706967276,habit,36.0,Low,4.0
237,1.0,Low,7,0.938,left,left,30.0,witch,5.0,0.9418963501811959,stagnant,37.0,Low,4.0
238,1.0,Low,7,1.121,left,left,30.0,omit,2.0,1.1635512519569602,small,38.0,Low,4.0
239,0.0,Low,2,0.776,right,left,30.0,absurd,1.0,2.0305615189136006,vacant,39.0,Low,4.0
240,1.0,Low,2,1.011,right,right,30.0,loose,1.0,1.1864372633281164,apathy,40.0,Low,4.0
241,0.0,Low,2,0.642,right,left,30.0,cellar,1.0,1.6296216333284974,coal,41.0,Low,4.0
242,1.0,Low,2,0.642,left,left,30.0,shadow,1.0,2.1786793096689507,label,42.0,Low,4.0
243,1.0,Low,2,0.536,left,left,30.0,average,2.0,1.7101288084231783,stupor,43.0,Low,4.0
244,1.0,Low,3,1.21,right,right,30.0,therapy,6.0,2.0420994819432963,obscure,44.0,Low,4.0
245,1.0,Low,2,0.571,left,left,30.0,marrow,2.0,1.4841838220891077,paragraph,45.0,Low,4.0
246,1.0,Low,7,1.111,right,right,30.0,bus,3.0,0.7163241357193328,fur,46.0,Low,4.0
247,1.0,Low,7,1.289,right,right,30.0,anus,2.0,1.5469500074977987,dissolve,47.0,Low,4.0
248,1.0,Low,7,1.407,left,left,30.0,errand,1.0,0.9799142688862048,stool,48.0,Low,4.0
249,1.0,Low,7,1.052,right,right,30.0,moss,4.0,1.1384696720342617,feet,49.0,Low,4.0
250,1.0,High,7,1.3,left,left,90.0,vodka,3.0,0.737899029511027,intense,0.0,High,5.0
251,1.0,High,4,1.18,right,right,90.0,alien,5.0,1.1742339570191689,react,1.0,High,5.0
252,1.0,High,7,1.309,left,left,90.0,hire,1.0,0.8424557646212634,motorcycle,2.0,High,5.0
253,1.0,High,7,0.722,right,right,90.0,conquest,6.0,0.9776824496802874,teach,3.0,High,5.0
