"","Word","List","ValMn","ValSD","AroMn","AroSD"
"55","brief",6,5.55,"1.60",4.12,"1.60"
"56","fact",4,5.55,"1.68",4.29,"1.68"
"57","ship",3,5.55,"1.40",4.38,"1.40"
"58","peanut",1,5.56,"2.10",3.74,"2.10"
"59","method",2,5.56,"1.76",3.85,"1.76"
"60","philosophy",5,5.56,"1.82",4.18,"1.82"
"61","hair",6,5.56,"1.95",4.48,"1.95"
"62","rock",2,5.56,"1.38",4.52,"1.38"
"63","salt",3,5.56,"1.04",4.54,"1.04"
"64","cow",4,5.57,"1.53",3.49,"1.53"
"65","bib",5,5.57,"1.91",4.37,"1.91"
"66","cognition",1,5.57,"1.26",4.59,"1.26"
"67","quiet",6,5.58,"1.83",2.82,"1.83"
"68","read",3,5.58,"1.93",3.64,"1.93"
"69","verify",4,5.58,"1.20",4.4,"1.20"
"70","dew",2,5.59,"1.52",3.64,"1.52"
"71","unit",5,5.59,"1.87",3.75,"1.87"
"72","plaza",1,5.59,"1.32",3.89,"1.32"
"73","loosen",5,5.59,"1.76",4.5,"1.76"
"74","windmill",4,5.6,"1.65",3.74,"1.65"
