,Unnamed: 0,Accuracy,Arousal,Confidence,Confidence_RT,Expected,KeyPressed,LearningTime,LeftWord,MarkerStart,RT,RightWord,TrialNumber,Valence,nBlock,Subject
126,126,False,Low,,,left,right,90.0,corn,1.0,-3.035795402771328,prefer,26.0,High,2.0,0
127,127,True,Low,,,right,right,90.0,vegetables,1.0,-2.5599643011519215,orchestra,27.0,High,2.0,0
128,128,False,Low,5.0,1.828,right,left,90.0,relate,1.0,0.9801577575854026,buffalo,28.0,High,2.0,0
129,129,True,Low,2.0,0.993,left,left,90.0,pancakes,4.0,1.5461335665313527,adorn,29.0,High,2.0,0
130,130,True,Low,7.0,1.4080000000000001,left,left,90.0,logical,3.0,1.8169876183092128,pond,30.0,High,2.0,0
131,131,False,Low,3.0,1.976,right,left,90.0,green,6.0,1.5521226182172543,dawn,31.0,High,2.0,0
132,132,False,Low,3.0,1.79,right,left,90.0,soup,4.0,2.1811533343570773,moral,32.0,High,2.0,0
133,133,True,Low,7.0,1.01,right,right,90.0,tidy,4.0,1.4119542998378165,crystal,33.0,High,2.0,0
134,134,True,Low,6.0,1.3430000000000002,left,left,90.0,violinist,2.0,0.9658387623785528,person,34.0,High,2.0,0
135,135,False,Low,2.0,1.157,right,left,90.0,polite,6.0,2.0731768504192587,tenderness,35.0,High,2.0,0
136,136,True,Low,4.0,2.443,left,left,90.0,sheep,5.0,1.3040625076100696,oxygen,36.0,High,2.0,0
137,137,True,Low,6.0,1.225,left,left,90.0,clearer,2.0,1.6978629457007628,saint,37.0,High,2.0,0
138,138,True,Low,7.0,1.093,right,right,90.0,pear,3.0,1.4021682362363208,innocent,38.0,High,2.0,0
139,139,True,Low,7.0,0.777,right,right,90.0,lounge,5.0,1.3174344954313708,nestle,39.0,High,2.0,0
140,140,True,Low,7.0,0.823,right,right,90.0,bathtub,5.0,2.1823075797874485,cuisine,40.0,High,2.0,0
141,141,True,Low,6.0,2.209,left,left,90.0,able,4.0,1.780764586525038,lake,41.0,High,2.0,0
142,142,True,Low,7.0,1.077,left,left,90.0,girl,5.0,1.0558711890480479,breeze,42.0,High,2.0,0
143,143,True,Low,7.0,1.942,right,right,90.0,nectar,2.0,1.8064832791569645,donate,43.0,High,2.0,0
144,144,True,Low,4.0,0.909,left,left,90.0,grace,3.0,1.682161614910001,assure,44.0,High,2.0,0
145,145,True,Low,5.0,0.943,left,left,90.0,safe,3.0,1.2282788205193356,butterfly,45.0,High,2.0,0
146,146,True,Low,7.0,0.927,left,left,90.0,politeness,6.0,0.9985579952190164,bird,46.0,High,2.0,0
147,147,True,Low,5.0,1.022,right,right,90.0,grateful,6.0,2.347562931739958,cozy,47.0,High,2.0,0
148,148,False,Low,2.0,1.22,right,left,90.0,wise,6.0,2.70721400185721,refreshment,48.0,High,2.0,0
149,149,True,Low,4.0,1.235,left,left,90.0,kindness,4.0,2.9404251523956186,relax,49.0,High,2.0,0
150,150,False,High,3.0,2.224,left,right,60.0,rejected,1.0,2.2591486301098485,murderer,0.0,Low,3.0,0
151,151,False,High,4.0,1.088,right,left,60.0,terrorist,3.0,1.7113302116922569,syphilis,1.0,Low,3.0,0
152,152,True,High,7.0,0.96,right,right,60.0,rabies,5.0,1.2588329610007352,fail,2.0,Low,3.0,0
153,153,True,High,7.0,1.393,left,left,60.0,gunpoint,2.0,1.0845361267856788,hurt,3.0,Low,3.0,0
154,154,True,High,5.0,1.177,right,right,60.0,disloyal,6.0,1.4211006843543146,mutilation,4.0,Low,3.0,0
155,155,True,High,6.0,1.21,left,left,60.0,overweight,5.0,1.3071986675204244,afraid,5.0,Low,3.0,0
156,156,True,High,7.0,1.327,right,right,60.0,assault,3.0,1.2906610060017556,war,6.0,Low,3.0,0
157,157,True,High,5.0,1.193,right,right,60.0,demon,6.0,1.3262113160744775,trauma,7.0,Low,3.0,0
158,158,True,High,1.0,1.186,left,left,60.0,troubled,5.0,2.88386520158383,murder,8.0,Low,3.0,0
159,159,True,High,7.0,1.11,right,right,60.0,crushed,3.0,1.2855660294007976,divorce,9.0,Low,3.0,0
160,160,True,High,7.0,0.8440000000000001,left,left,60.0,poisonous,5.0,0.8659092746383976,traffic,10.0,Low,3.0,0
161,161,True,High,2.0,1.276,right,right,60.0,whore,2.0,1.4149470612755977,crash,11.0,Low,3.0,0
162,162,False,High,,,left,right,60.0,insecure,6.0,-2.5533846531179734,anger,12.0,Low,3.0,0
163,163,True,High,7.0,1.413,left,left,60.0,starving,3.0,1.6777752897760363,robbery,13.0,Low,3.0,0
164,164,True,High,7.0,1.124,right,right,60.0,banish,6.0,1.442951467790408,pollution,14.0,Low,3.0,0
165,165,True,High,2.0,1.041,left,left,60.0,cult,3.0,1.8592914511391427,repulsed,15.0,Low,3.0,0
166,166,True,High,1.0,1.6369999999999998,left,left,60.0,rude,5.0,2.778695734741632,burdened,16.0,Low,3.0,0
167,167,True,High,7.0,0.9440000000000001,right,right,60.0,rash,5.0,1.1990601785946635,jealousy,17.0,Low,3.0,0
168,168,False,High,1.0,1.091,right,left,60.0,gang,4.0,1.8545442238391845,robber,18.0,Low,3.0,0
169,169,True,High,5.0,1.9569999999999999,right,right,60.0,frighten,5.0,1.9161802239832468,destroy,19.0,Low,3.0,0
170,170,False,High,1.0,1.038,left,right,60.0,creepy,1.0,2.357092674530577,burn,20.0,Low,3.0,0
171,171,False,High,4.0,1.8219999999999998,left,right,60.0,criticism,2.0,2.2124148431175854,fear,21.0,Low,3.0,0
172,172,True,High,2.0,1.7930000000000001,right,right,60.0,expel,6.0,1.6128882826596964,scared,22.0,Low,3.0,0
173,173,True,High,7.0,1.06,right,right,60.0,scold,5.0,1.60021564309136,communism,23.0,Low,3.0,0
174,174,True,High,7.0,1.6269999999999998,left,left,60.0,psycho,1.0,1.109679621498799,paranoid,24.0,Low,3.0,0
175,175,True,High,3.0,1.308,left,left,60.0,surgery,2.0,1.8393911435559855,scorn,25.0,Low,3.0,0
176,176,True,High,6.0,1.591,left,left,60.0,difficult,3.0,1.7756811587896664,dent,26.0,Low,3.0,0
177,177,True,High,3.0,1.173,left,left,60.0,quarrel,2.0,2.136300730024232,wicked,27.0,Low,3.0,0
178,178,True,High,7.0,1.177,left,left,60.0,bitch,5.0,1.4584381821041459,bothered,28.0,Low,3.0,0
179,179,False,High,2.0,1.005,left,right,60.0,detain,4.0,2.3245524491940164,trouble,29.0,Low,3.0,0
180,180,False,High,2.0,1.905,right,left,60.0,hazard,6.0,2.3883657321857754,sever,30.0,Low,3.0,0
181,181,True,High,1.0,0.7390000000000001,right,right,60.0,irritate,1.0,2.2576155175629538,forbid,31.0,Low,3.0,0
182,182,True,High,4.0,1.574,right,right,60.0,disruptive,3.0,1.7688054105092306,rattlesnake,32.0,Low,3.0,0
183,183,False,High,2.0,1.358,left,right,60.0,mob,5.0,2.004872981662629,nuclear,33.0,Low,3.0,0
184,184,True,High,7.0,0.826,right,right,60.0,pushy,5.0,1.4086028818564955,avalanche,34.0,Low,3.0,0
185,185,True,High,6.0,2.3209999999999997,right,right,60.0,bastard,4.0,2.545765927497996,dagger,35.0,Low,3.0,0
186,186,,High,,,left,,60.0,frantic,,,emergency,36.0,Low,3.0,0
187,187,False,High,2.0,1.7269999999999999,left,right,60.0,haunt,1.0,-2.9229683933081105,gossip,37.0,Low,3.0,0
188,188,True,High,7.0,1.041,right,right,60.0,spanking,4.0,1.9268664578557944,anarchy,38.0,Low,3.0,0
189,189,False,High,3.0,1.5030000000000001,right,left,60.0,scare,4.0,2.72785824915627,obsessed,39.0,Low,3.0,0
190,190,True,High,4.0,1.6740000000000002,left,left,60.0,shark,1.0,1.9425575229979584,officer,40.0,Low,3.0,0
191,191,,High,,,right,,60.0,fight,,,forceful,41.0,Low,3.0,0
192,192,True,High,2.0,2.108,left,left,60.0,tangle,2.0,1.9070043257088403,mangle,42.0,Low,3.0,0
193,193,False,High,4.0,1.01,left,right,60.0,shock,3.0,1.3660080816480331,baffle,43.0,Low,3.0,0
194,194,True,High,2.0,1.825,right,right,60.0,revolt,4.0,1.908384736510925,battle,44.0,Low,3.0,0
195,195,True,High,2.0,2.021,left,left,60.0,police,6.0,2.4750053574098274,chaos,45.0,Low,3.0,0
196,196,False,High,1.0,2.406,right,left,60.0,vampire,6.0,2.2665870650089346,pang,46.0,Low,3.0,0
197,197,,High,,,left,,60.0,emotional,,,reckless,47.0,Low,3.0,0
198,198,False,High,3.0,1.306,right,left,60.0,lava,5.0,2.140595947392285,clench,48.0,Low,3.0,0
199,199,True,High,7.0,0.94,right,right,60.0,lightning,5.0,1.996544642170193,speech,49.0,Low,3.0,0
200,200,True,Low,7.0,1.093,right,right,60.0,sad,5.0,1.5599296545551624,loneliness,0.0,Low,4.0,0
201,201,False,Low,3.0,1.124,left,right,60.0,worthless,2.0,1.867939951014705,lonely,1.0,Low,4.0,0
202,202,True,Low,2.0,0.9740000000000001,left,left,60.0,sorrow,5.0,1.9798940583714284,rotten,2.0,Low,4.0,0
203,203,False,Low,3.0,2.688,left,right,60.0,deformed,4.0,2.5260946725029503,disappointment,3.0,Low,4.0,0
204,204,False,Low,5.0,1.66,right,left,60.0,disability,3.0,1.2737114347983152,worse,4.0,Low,4.0,0
205,205,True,Low,6.0,0.9570000000000001,right,right,60.0,sunburn,5.0,1.7706978212518152,sewage,5.0,Low,4.0,0
206,206,True,Low,3.0,1.609,left,left,60.0,stinky,3.0,1.7434777754824609,coward,6.0,Low,4.0,0
207,207,True,Low,6.0,1.126,left,left,60.0,alienation,2.0,1.2960315515229013,fever,7.0,Low,4.0,0
208,208,True,Low,1.0,1.368,left,left,60.0,mope,6.0,2.9955581761605568,negligent,8.0,Low,4.0,0
209,209,True,Low,7.0,1.193,right,right,60.0,bored,3.0,1.4789948505058417,mucous,9.0,Low,4.0,0
210,210,False,Low,4.0,1.3880000000000001,right,left,60.0,stink,5.0,2.4494444993324582,despair,10.0,Low,4.0,0
211,211,True,Low,5.0,1.226,left,left,60.0,pathetic,2.0,1.5866316051688043,weakness,11.0,Low,4.0,0
212,212,True,Low,2.0,1.069,right,right,60.0,manure,5.0,2.8252014315512497,complain,12.0,Low,4.0,0
213,213,False,Low,1.0,0.721,right,left,60.0,messy,1.0,2.5064182846981566,expire,13.0,Low,4.0,0
214,214,True,Low,,,right,right,60.0,tax,4.0,2.0323089271259955,mildew,14.0,Low,4.0,0
215,215,True,Low,2.0,1.706,left,left,60.0,detach,1.0,2.2340583885088563,moody,15.0,Low,4.0,0
216,216,True,Low,7.0,1.227,left,left,60.0,urine,3.0,0.8029778762138449,handicapped,16.0,Low,4.0,0
217,217,True,Low,2.0,1.675,left,left,60.0,handicap,1.0,1.7196235838346183,dismissive,17.0,Low,4.0,0
218,218,,Low,,,right,,60.0,bitter,,,tarnish,18.0,Low,4.0,0
