,Subject,Valence,Arousal,Confidence,RT,Accuracy,MetadPrime,dPrime,HR,FAR,Mratio,Reject
73,11131,High,Low,3.764705882352941,1.3780130110826576,0.6985294117647058,1.1110222130310101,1.27897388594868,0.628205128205128,0.314938684503902,0.868682484636429,1
74,11131,Low,High,3.4100719424460433,1.3587334614567226,0.5683453237410072,1.44248766149107,0.458446831107859,0.533516483516484,0.3136511375948,3.14646664260985,1
75,11131,Low,Low,3.0208333333333335,1.194540658267215,0.6180555555555556,1.00766510503887,1.1273199497788202,0.5543589743589741,0.32773564463705296,0.8938590195592429,1
76,11132,High,High,4.640287769784172,1.4730563856282968,0.7266187050359713,1.69261008641114,1.28613656613194,0.6527627302275191,0.24010989010989003,1.31604227030234,0
77,11132,High,Low,5.042253521126761,1.4419285607727943,0.7676056338028169,1.86768887508255,1.5951692404163,0.7045940170940171,0.20886752136752101,1.17084057776536,0
78,11132,Low,High,4.610294117647059,1.413259677370661,0.7426470588235294,1.4285738923404598,1.33908302019407,0.693979933110368,0.27480490523968804,1.06682996557855,0
79,11132,Low,Low,4.945205479452055,1.3459809219493764,0.7671232876712328,1.72573166537069,1.46832603653765,0.7075869336143309,0.237435897435897,1.17530549920644,0
80,11133,High,High,4.837837837837838,1.3436299499298912,0.831081081081081,2.10165803215545,1.88791957193427,0.7769230769230769,0.22410256410256402,1.11321375306374,0
81,11133,High,Low,4.863945578231292,1.2745845696335891,0.8571428571428571,2.03306799065347,2.11642044224303,0.767692307692308,0.194906444906445,0.960616307645742,0
82,11133,Low,High,4.446666666666666,1.3572635473756236,0.7666666666666667,1.77700593101468,1.43593535060291,0.7403846153846151,0.308198380566802,1.2375250252517,0
83,11133,Low,Low,4.626666666666667,1.459003929499886,0.7733333333333333,1.7358704936381,1.48153257924258,0.718117408906883,0.26366396761133604,1.17167217107406,0
84,11134,High,High,5.616438356164384,1.0067409963085083,0.815068493150685,2.32547806526279,1.80314369576176,0.743055555555556,0.16751012145749,1.28967983568296,0
85,11134,High,Low,5.715277777777778,1.0301590051385574,0.875,2.9447217608341605,2.27073754345555,0.8382507903055849,0.150158061116965,1.29681290967381,0
86,11134,Low,High,5.5,1.0797877579025226,0.8378378378378378,2.12412426322379,1.9369406052752098,0.812370062370062,0.20698380566801605,1.09663882177842,0
87,11134,Low,Low,5.22972972972973,1.0817638934968272,0.777027027027027,2.10817194910471,1.5951761865333998,0.694838056680162,0.177234927234927,1.3215919137347099,0
88,11135,High,High,4.583333333333333,1.666613573965151,0.7986111111111112,1.9081008257827698,1.64443278302994,0.7345085470085471,0.251039501039501,1.16033981168085,0
89,11135,High,Low,4.924137931034482,1.4859605882083995,0.7724137931034483,2.06736911433511,1.55854666168929,0.6907270811380399,0.203222453222453,1.32647238940817,0
